Face,Track Number,Track_Name,Track_Composer,Track_Length,LP_ID,Track Length,Track Filename
B,1,"Thème du film ""Le Parrain""",,2'35,LP2706,2'13,LP2706_1z1_B01.mp3
B,2,Chant,,2'50,LP2706,2'09,LP2706_1z1_B02.mp3
B,3,Llamadas (tambours),,4'00,LP2706,2'59,LP2706_1z1_B03.mp3
B,4,Petite Fanfare,,2'05,LP2706,4'05,LP2706_1z1_B04.mp3
B,5,Orchestre,,1'12,LP2706,2'28,LP2706_1z1_B05.mp3
B,6,Murga Rythmique (samba),,2'45,LP2706,1'18,LP2706_1z1_B06.mp3
B,7,"La prohibition (chant + accordéon)
populaire",,1'25,LP2706,2'49,LP2706_1z1_B07.mp3
A,1,ADIOS PUEBLO,Gregorio Cabrera,,LP2727,3'03,LP2727_1z1_A01.mp3
A,2,CONU'U RECAVO,Justo B. Roa,,LP2727,2'07,LP2727_1z1_A02.mp3
A,3,A CARMENCITA,C. Marín Juan B. Barrios,,LP2727,3'18,LP2727_1z1_A03.mp3
A,4,CHE JHEGUI PA RE CANY,Diosnel Chase - Miguel G. Fariña,,LP2727,2'17,LP2727_1z1_A04.mp3
A,5,MARIA CELIA,Gabino Espinola,,LP2727,2'37,LP2727_1z1_A05.mp3
A,6,PEQUEÑA,Oscar Riso,,LP2727,2'47,LP2727_1z1_A06.mp3
B,7,ADIOS OTILIA,Antonio Aguilar Pedro Gauto,,LP2727,missing,LP2727_1z1_B07.mp3
B,8,NDE REHJE AMA'ÉVO,Justo B. Roa,,LP2727,missing,LP2727_1z1_B08.mp3
B,9,MBORACJU NE' É,Justo B. Roa - G. Espinola,,LP2727,missing,LP2727_1z1_B09.mp3
B,10,MIRTA Y FATY,Melanio Alvarenga - Graciela B. Molina,,LP2727,missing,LP2727_1z1_B10.mp3
B,11,DON QUIRINO,Nelson Enciso,,LP2727,missing,LP2727_1z1_B11.mp3
B,12,ADIOS INGRATA,Benito Parodi Luis Giménez,,LP2727,missing,LP2727_1z1_B12.mp3
A,1,MI PUEBLITO SUPUCAI,(F. Bogado),,LP2732,3'08,LP2732_1z1_A01.mp3
A,2,MUCHACHITA,(Mitacuñá) (Félix V. Bogado),,LP2732,2'18,LP2732_1z1_A02.mp3
A,3,A PARAGUARI,(F. V. Bogado - A. Vera),,LP2732,2'23,LP2732_1z1_A03.mp3
A,4,CHE SY PORE'Y ME,(Félix V. Bogado),,LP2732,2'41,LP2732_1z1_A04.mp3
A,5,VY'A'Y YUAJU RIRE,(Hery Lugo - F. V. Bogado),,LP2732,2'30,LP2732_1z1_A05.mp3
A,6,NDE REJHE'Y,(N. Norton - M. Mora),,LP2732,2'23,LP2732_1z1_A06.mp3
B,1,CHE RA'AROMI CHE CAMBA,(Andrés C. Zaldívar),,LP2732,3'27,LP2732_1z1_B01.mp3
B,2,MI DIOSA AUSENTE,(A. Chilabert F. V. Bogado),,LP2732,3'28,LP2732_1z1_B02.mp3
B,3,ROGELIO ALVARENGA,(A. Chilabert - F. V Bogado),,LP2732,3'05,LP2732_1z1_B03.mp3
B,4,NE ÑAÑAGUI CHE CAMBA,(Ramón Vargas C.),,LP2732,2'13,LP2732_1z1_B04.mp3
B,5,NDE RECHA SEGUI,(Isaac Chilabert),,LP2732,2'16,LP2732_1z1_B05.mp3
B,6,NDE PUCAVY CHE RENOI,(Hnos. Yambay),,LP2732,2'44,LP2732_1z1_B06.mp3
A,1,MAMA VIEJA,,,LP2850,3'07,LP2850_1z1_A01.mp3
A,2,CUECA DE VILLA RIVERO,,,LP2850,2'52,LP2850_1z1_A02.mp3
A,3,CARMEN ROSA,,,LP2850,2'39,LP2850_1z1_A03.mp3
A,4,CANTA PAJARILLO,,,LP2850,2'49,LP2850_1z1_A04.mp3
A,5,SIN NOMBRE,,,LP2850,2'50,LP2850_1z1_A05.mp3
A,6,DESTACAMENTO 111,,,LP2850,3'40,LP2850_1z1_A06.mp3
B,1,PICAFLOR,,,LP2850,2'45,LP2850_1z1_B01.mp3
B,2,MI CONSUELO,,,LP2850,2'50,LP2850_1z1_B02.mp3
B,3,SANLORENCINA,,,LP2850,2'51,LP2850_1z1_B03.mp3
B,4,SELECCION DE HUAYÑOS,,,LP2850,2'37,LP2850_1z1_B04.mp3
B,5,TRAICION,,,LP2850,2'49,LP2850_1z1_B05.mp3
B,6,VALLE Y CORDILLERA,,,LP2850,2'42,LP2850_1z1_B06.mp3
A,1,ARI CHOLITA,Panchito Sosa,,LP2845,4'52,LP2845_1z1_A01.mp3
A,2,ALBANIL,Panchito Sosa,,LP2845,1'26,LP2845_1z1_A02.mp3
A,3,PAÑUELO BLANCO,Del Folklore Boliviano,,LP2845,3'14,LP2845_1z1_A03.mp3
